RADIOBASE,TRAFICO_T,FECHA
CA0414QK003,11.76,2024-07-24
CA0410QK025,2.64,2024-07-24
CA2264QK004,50.28,2024-07-24
CA0303QK004,12.83,2024-07-24
CA0203QK004,33.83,2024-07-24
CA1878QK025,8.62,2024-07-24
CA0412QK003,14.33,2024-07-24
CA2400QK002,26.26,2024-07-24
CA1953QK001,17.44,2024-07-24
CA2270QK002,143.17,2024-07-24
CA1938QK002,16.66,2024-07-24
CA2244QK026,37.69,2024-07-24
CA2357QK003,85.01,2024-07-24
CA1663QK002,20.86,2024-07-24
CA0406QK005,19.78,2024-07-24
CA0046QK002,38,2024-07-24
CA0043QK001,47.22,2024-07-24
CA0628QK026,46.34,2024-07-24
CA2401QK021,84.37,2024-07-24
CA2323QK025,55.47,2024-07-24
CA0070QK005,100.17,2024-07-24
CA0058QK004,55.59,2024-07-24
CA0928QK026,22.63,2024-07-24
CA0399QK004,39.83,2024-07-24
CA0385QK041,48.09,2024-07-24
CA2390QK026,21.39,2024-07-24
CA0034QK003,124.36,2024-07-24
CA2204QK001,66.19,2024-07-24
CA2395QK006,42.96,2024-07-24
CA1664QK021,25.02,2024-07-24
CA1916QK002,54.47,2024-07-24
CA2462QK006,50.19,2024-07-24
CA2397QK025,109.59,2024-07-24
CA2391QK005,113.33,2024-07-24
CA0336QK003,14.92,2024-07-24
CA0134QK002,11.15,2024-07-24
CA1456QK005,104.83,2024-07-24
CA0211QK002,9.8,2024-07-24
CA0003QK026,15.85,2024-07-24
CA1973QK003,17.89,2024-07-24
CA1886QK002,64.79,2024-07-24
CA2239QK003,33.06,2024-07-24
CA0125QK005,73.53,2024-07-24
CA0405QK025,33.11,2024-07-24
CA2389QK004,86.39,2024-07-24
CA2392QK006,191.69,2024-07-24
CA0202QK022,11.66,2024-07-24
CA0081QK023,15.17,2024-07-24
CA1878QK003,32.2,2024-07-24
CA0352QK001,26.39,2024-07-24
CA1241QK023,44.69,2024-07-24
CA0206QK005,37.99,2024-07-24
CA2398QK026,74.83,2024-07-24
CA0323QK004,11.24,2024-07-24
CA3777QK024,28.21,2024-07-24
CA2269QK023,58.62,2024-07-24
CA0054QK041,45.56,2024-07-24
CA1455QK026,99.54,2024-07-24
CA0414QK022,5.08,2024-07-24
CA0387QK043,21.33,2024-07-24
CA0066QK003,37.88,2024-07-24
CA0928QK001,16.24,2024-07-24
CA0412QK025,7.26,2024-07-24
CA2362QK004,21.95,2024-07-24
CA0323QK025,9.69,2024-07-24
CA0376QK002,61.23,2024-07-24
CA1953QK023,4.01,2024-07-24
CA2402QK042,9.13,2024-07-24
CA0305QK026,13.38,2024-07-24
CA0052QK006,32.07,2024-07-24
CA2200QK002,23.91,2024-07-24
CA0409QK043,4,2024-07-24
CA1939QK001,38.25,2024-07-24
CA2394QK024,18.56,2024-07-24
CA2211QK001,12.71,2024-07-24
CA2247QK022,23.57,2024-07-24
CA0407QK001,2.66,2024-07-24
CA0046QK024,34.56,2024-07-24
CA0045QK003,9.56,2024-07-24
CA2356QK024,45.62,2024-07-24
CA0058QK026,15.46,2024-07-24
CA0399QK026,17.66,2024-07-24
CA0209QK005,45.94,2024-07-24
CA0034QK023,83.76,2024-07-24
CA0252QK006,16.98,2024-07-24
CA2360QK021,47.71,2024-07-24
CA0389QK041,16.36,2024-07-24
CA0084QK003,18.62,2024-07-24
CA1916QK024,131.72,2024-07-24
CA3008QK002,45.67,2024-07-24
CA2388QK022,89.56,2024-07-24
CA2391QK041,91.62,2024-07-24
CA0291QK001,42.17,2024-07-24
CA0081QK003,11.83,2024-07-24
CA0203QK023,19.22,2024-07-24
CA0413QK041,1.48,2024-07-24
CA0319QK022,10.4,2024-07-24
CA3776QK041,35.77,2024-07-24
CA0211QK024,5.71,2024-07-24
CA0009QK022,49.97,2024-07-24
CA1886QK024,50.08,2024-07-24
CA0054QK002,2.36,2024-07-24
CA2241QK002,61.1,2024-07-24
CA2392QK042,0.59,2024-07-24
CA0276QK001,19.19,2024-07-24
CA1455QK004,222.93,2024-07-24
CA0385QK043,17.03,2024-07-24
CA2042QK021,52.65,2024-07-24
CA0396QK003,15.4,2024-07-24
CA0060QK025,14.31,2024-07-24
CA2244QK021,95.23,2024-07-24
CA0072QK024,63.85,2024-07-24
CA0202QK002,8.74,2024-07-24
CA0288QK003,41.92,2024-07-24
CA1937QK026,21.67,2024-07-24
CA0003QK005,55.05,2024-07-24
CA0274QK003,45.02,2024-07-24
CA0238QK006,143.25,2024-07-24
CA1887QK001,28.45,2024-07-24
CA2416QK001,4.28,2024-07-24
CA2393QK043,13.86,2024-07-24
CA2269QK003,12.27,2024-07-24
CA2262QK003,74.07,2024-07-24
CA0300QK006,77.24,2024-07-24
CA1947QK003,14.17,2024-07-24
CA0218QK001,39.92,2024-07-24
CA0200QK003,77.63,2024-07-24
CA0303QK042,5.83,2024-07-24
CA0398QK026,35.11,2024-07-24
CA0402QK024,10.71,2024-07-24
CA0272QK022,2.84,2024-07-24
CA2276QK043,3.85,2024-07-24
CA1450QK005,27.22,2024-07-24
CA0312QK001,22.3,2024-07-24
CA0056QK022,31.39,2024-07-24
CA0421QK042,6.33,2024-07-24
CA2276QK021,91.38,2024-07-24
CA0300QK024,9.2,2024-07-24
CA1982QK042,16.57,2024-07-24
CA2362QK026,21.97,2024-07-24
CA0060QK005,55.65,2024-07-24
CA2241QK025,100.84,2024-07-24
CA0070QK025,32.75,2024-07-24
CA0002QK003,4.63,2024-07-24
CA0426QK041,11.87,2024-07-24
CA1937QK001,29.67,2024-07-24
CA0002QK026,15.42,2024-07-24
CA2396QK026,64.53,2024-07-24
CA1982QK002,16.86,2024-07-24
211423QK103,1.05,2024-07-24
CA0411QK022,10.82,2024-07-24
CA1958QK023,64.81,2024-07-24
CA2389QK024,16.28,2024-07-24
CA2265QK001,16.5,2024-07-24
CA1454QK025,19.03,2024-07-24
CA0319QK001,23.3,2024-07-24
CA0298QK021,57.16,2024-07-24
CA1939QK024,48.92,2024-07-24
CA0239QK023,10.85,2024-07-24
CA0396QK025,5.8,2024-07-24
CA0346QK043,10.39,2024-07-24
CA1312QK006,2.12,2024-07-24
CA0289QK005,19.41,2024-07-24
CA0398QK004,44.73,2024-07-24
CA3008QK024,33.3,2024-07-24
CA1887QK023,7.56,2024-07-24
CA2230QK021,50.21,2024-07-24
CA0413QK005,15.06,2024-07-24
CA0218QK043,10.78,2024-07-24
CA0417QK003,69.81,2024-07-24
CA0305QK021,7.96,2024-07-24
CA2270QK025,49.54,2024-07-24
CA0169QK041,30.47,2024-07-24
CA2323QK022,71.25,2024-07-24
CA1452QK001,38.53,2024-07-24
CA2360QK022,30.89,2024-07-24
CA2396QK001,104.35,2024-07-24
204898QK004,1.17,2024-07-24
CA0410QK026,1.99,2024-07-24
CA1953QK041,19.03,2024-07-24
CA1454QK003,53.93,2024-07-24
CA0236QK042,14.35,2024-07-24
CA0312QK005,56.61,2024-07-24
CA0425QK003,28.2,2024-07-24
CA0291QK022,15.1,2024-07-24
CA2387QK003,25.18,2024-07-24
CA0410QK001,6.81,2024-07-24
CA1399QK005,15.31,2024-07-24
CA0252QK009,14.56,2024-07-24
CA1958QK041,2.78,2024-07-24
CA0105QK003,7.77,2024-07-24
CA0405QK006,32.19,2024-07-24
CA2388QK025,80.28,2024-07-24
CA2392QK001,41.9,2024-07-24
CA0291QK004,50.22,2024-07-24
CA0340QK003,9.04,2024-07-24
CA0081QK006,21.58,2024-07-24
CA1241QK001,131.47,2024-07-24
CA0203QK026,17.43,2024-07-24
CA0319QK025,7.65,2024-07-24
CA3777QK002,58.04,2024-07-24
CA0054QK022,5.88,2024-07-24
CA0281QK001,25.67,2024-07-24
CA1455QK021,354.86,2024-07-24
CA0386QK041,38.39,2024-07-24
CA2264QK021,28.05,2024-07-24
CA0303QK021,7.82,2024-07-24
CA0203QK021,13.99,2024-07-24
CA0412QK006,16.42,2024-07-24
CA0323QK006,8.97,2024-07-24
CA2400QK022,15.43,2024-07-24
CA1953QK004,38.5,2024-07-24
CA0052QK001,14.01,2024-07-24
CA2270QK022,72.28,2024-07-24
CA0409QK001,8.3,2024-07-24
CA1938QK022,34.58,2024-07-24
CA2204QK022,52.18,2024-07-24
CA2244QK043,7.12,2024-07-24
CA2357QK006,167.1,2024-07-24
CA1663QK022,5.79,2024-07-24
CA0406QK022,10.3,2024-07-24
CA0046QK005,61.63,2024-07-24
CA0043QK004,80.91,2024-07-24
CA0728QK003,68.34,2024-07-24
CA2401QK024,80.87,2024-07-24
CA2356QK002,4.05,2024-07-24
CA0070QK022,32.63,2024-07-24
CA2402QK002,28.92,2024-07-24
CA0058QK021,8.6,2024-07-24
CA0399QK021,16.52,2024-07-24
CA0206QK026,10.95,2024-07-24
CA2390QK043,37.04,2024-07-24
CA0034QK006,246.1,2024-07-24
CA0252QK001,4.44,2024-07-24
CA1664QK024,20.47,2024-07-24
CA1916QK005,31.2,2024-07-24
CA2462QK023,48.03,2024-07-24
CA2398QK002,71.09,2024-07-24
CA2391QK022,94.61,2024-07-24
CA0336QK043,4.78,2024-07-24
CA0346QK041,7.14,2024-07-24
CA0289QK022,4.72,2024-07-24
CA0319QK003,50.67,2024-07-24
CA0141QK002,51.44,2024-07-24
